be,forty,5
at,green,5
miss,ham,4
or,tears,5
each,downs,5
good,sex,4
play,folly,5
home,father,6
they,its,4
it,she,3
leave,enough,6
taste,way,4
mr,six,3
in,points,6
it,surrounded,10
fancy,in,5
she,decisively,10
son,of,3
lose,me,4
does,discovered,9
fond,especially,10
bred,insipidity,10
gave,up,4
lady,comparison,10
get,to,3
sir,on,3
her,begin,4
company,drift,7
conduct,as,7
expense,money,6
bed,joy,3
any,eat,3
sister,believed,7
depend,settling,7
change,entrance,8
off,man,3
piqued,rich,5
one,fact,4
contented,seen,9
continued,ask,9
any,and,1
happiness,took,9
instantly,post,7
objection,old,8
yet,by,3
her,determine,8
allowance,do,9
use,on,3
correct,mr,7
day,pretended,9
new,satisfied,9
brought,my,7
tedious,hoped,7
by,heard,5
come,am,4
this,civil,5
been,child,5
in,of,2
kept,began,4
easy,walls,4
or,me,2
sons,be,4
my,elderly,7
it,comfort,7
done,invited,7
wrong,besides,7
do,however,6
point,passage,6
avoid,so,5
by,death,5
fruit,in,5
learn,or,5
or,learn,5
in,fruit,5
death,by,5
so,avoid,5
passage,point,6
however,do,6
besides,wrong,7
invited,done,7
comfort,it,7
elderly,my,7
be,sons,4
me,or,2
walls,easy,4
began,kept,4
of,in,2
child,been,5
civil,this,5
am,come,4
heard,by,5
hoped,tedious,7
my,brought,7
satisfied,new,9
pretended,day,9
mr,correct,7
on,use,3
do,allowance,9
determine,her,8
by,yet,3
old,objection,8
post,instantly,7
took,happiness,9
and,any,1
ask,continued,9
seen,contented,9
fact,one,4
rich,piqued,5
man,off,3
entrance,change,8
settling,depend,7
believed,sister,7
eat,any,3
joy,bed,3
money,expense,6
as,conduct,7
drift,company,7
begin,her,4
on,sir,3
to,get,3
comparison,lady,10
up,gave,4
insipidity,bred,10
especially,fond,10
discovered,does,9
me,lose,4
of,son,3
decisively,she,10
in,fancy,5
surrounded,it,10
points,in,6
six,mr,3
way,taste,4
enough,leave,6
she,it,3
its,they,4
father,home,6
folly,play,5
sex,good,4
downs,each,5
tears,or,5
ham,miss,4
green,at,5
forty,be,5
